x y1 y2
3 0.278 0.185
4 0.499 0.224
5 0.887 0.264
6 1.430 0.299
7 2.180 0.304
8 3.225 0.314
9 4.456 0.326
10 6.052 0.337
11 7.203 0.377
12 7.996 0.380
13 8.458 0.402
